n_b,rho_b,n_n,n_p,Delta_n,Delta_p,lambda,xi_n,xi_p,kappa,R,epsilon,A_nn,A_pp,A_np
[1/fm**3],[g/cm**3],[1/fm**3],[1/fm**3],[MeV],[MeV],[cm],[cm],[cm],[],[],[],[MeV fm**5],[MeV fm**5],[MeV fm**5]
0.26993987975951905,448245697995991.94,0.25421258540978453,0.015727294349734498,0.45273810182178786,0.990458602624528,5.721137242528328e-12,5.160309493828333e-12,1.1290969343819828e-12,5.067002724314209,0.21880411160074198,0.061866702328613986,-19.26376354008265,73.4630268086987,34.18363457082559
0.2710220440881764,450042674068136.25,0.2552230011988925,0.01579904288928386,0.4528018559710928,0.9895184146134037,5.708131697194169e-12,5.1640435687580486e-12,1.1322315301300229e-12,5.0414880219230955,0.21925290037828327,0.061902895957922845,-19.618369928538776,73.19114768838743,33.8266526133537
0.2721042084168337,451839650140280.56,0.2562335878311438,0.015870620585689884,0.45285348370298983,0.9885684663659872,5.695245098552193e-12,5.1678911145813306e-12,1.1353752188568168e-12,5.016178796192684,0.21969797615381795,0.06193809609436728,-19.973269821349664,72.92119344018992,33.46934863743955
0.273186372745491,453636626212424.94,0.257244345479409,0.015942027266082025,0.4528931102070415,0.987608968900174,5.682475864260657e-12,5.171851101276538e-12,1.138527940702056e-12,4.991072824050892,0.22013935018760297,0.06197231366299594,-20.328464759398223,72.65313244629179,33.11172190925308
0.27426853707414833,455433602284569.1,0.2582552742976692,0.016013262776479124,0.4529208594213462,0.9866401298889335,5.669822438687045e-12,5.175922525739908e-12,1.1416896367358537e-12,4.966167911357542,0.2205770335738646,0.06200555949932693,-20.683956267122188,72.38693371649126,32.75377169528869
0.2753507014028056,457230578356713.4,0.2592663744213021,0.016084326981503493,0.45293685404576317,0.9856621537029406,5.657283292344504e-12,5.18010441112786e-12,1.1448602489490686e-12,4.941461892434156,0.22101103724660234,0.06203784434986859,-21.0397458528076,72.12256687283623,32.395497262375486
0.276432865731463,459027554428857.8,0.26027764596736214,0.01615521976410085,0.4529412155550529,0.9846752414527821,5.6448569213420854e-12,5.1843958062197395e-12,1.1480397202440183e-12,4.916952629602623,0.22144137198527755,0.06206917887265146,-21.39583500887518,71.86000213469646,32.036897877687665
0.27751503006012024,460824530501001.94,0.26128908903485426,0.016225941025265977,0.4529340642119277,0.983679591030733,5.632541846848428e-12,5.188795784800301e-12,1.151227994425586e-12,4.892638012732506,0.22186804842038949,0.06209957363777078,-21.752225212159882,71.59921030425681,31.677972808755143
0.2785971943887776,462621506573146.4,0.2623007037050035,0.016296490683774093,0.45291551908001243,0.9826753971521025,5.620336614568471e-12,5.193303445061209e-12,1.1544250161927117e-12,4.8685159587968,0.22229107703894346,0.06212903912793898,-22.108917924184162,71.34016275241811,31.318721323473767
0.2796793587174349,464418482645290.6,0.2633124900415175,0.016366868675917363,0.45288569803671236,0.98166285139615,5.608239794232928e-12,5.197917909020916e-12,1.1576307311302355e-12,4.844584411436112,0.22271046818980791,0.06215758573904616,-22.465914591424347,71.08283140509334,30.95914269011604
0.2807615230460922,466215458717434.8,0.2643244480908451,0.016437074955247086,0.45284471778598484,0.9806421422465645,5.596249979100064e-12,5.202638321962281e-12,1.1608450857011245e-12,4.820841340530855,0.22312623208896984,0.06218522378072974,-22.823216645571083,70.82718872988586,30.59923617734131
0.2818436873747495,468012434789579.2,0.26533657788242876,0.01650710949232074,0.4527926938710156,0.9796134551315168,5.5843657854695345e-12,5.207463851887302e-12,1.1640680272390305e-12,4.797284741781536,0.22353837882468375,0.06221196347695068,-23.18082550378363,70.57320772313821,30.239001054206398
0.28292585170340684,469809410861723.5,0.2663488794289528,0.016576972274454024,0.4527297406867939,0.9785769724632799,5.572585852207947e-12,5.212393688988395e-12,1.1672995039411889e-12,4.7739126362969015,0.22394691836251815,0.062237814966575995,-23.538742568938243,70.32086189734034,29.87843659017591
0.28400801603206416,471606386933867.7,0.2673613527265861,0.01664666330547801,0.4526559714925903,0.9775328736774114,5.5609088402857615e-12,5.217427045135632e-12,1.1705394648616625e-12,4.750723070189662,0.22435186055030562,0.062262788303968225,-23.896969229870724,70.07012526888472,29.51754205513285
0.2850901803607214,473403363006011.94,0.26837399775522086,0.016716182605500556,0.45257149842432987,0.9764813352715178,5.549333432325363e-12,5.222563153379415e-12,1.1737878599048795e-12,4.727714114179938,0.22475321512298904,0.06228689345957833,-24.255506861613522,69.82097234615944,29.15631671938887
0.2861723446893788,475200339078156.4,0.2693868144787059,0.016785530210672903,0.45247643250686437,0.975422530843576,5.537858332159815e-12,5.227801267468066e-12,1.1770446398195189e-12,4.704883863205866,0.2251509917073773,0.06231014032054543,-24.61435682562736,69.57337811796666,28.794759853694785
0.28725450901803606,476997315150300.5,0.27039980284507587,0.016854706172960178,0.452370883666138,0.974356631129837,5.526482264402221e-12,5.233140661379819e-12,1.180309756192665e-12,4.682230436041672,0.22554519982680027,0.062332538691298504,-24.97352047002736,69.32731804225877,28.432870729251135
0.28833667334669344,478794291222444.94,0.2714129627867769,0.016923710559916556,0.45225496074125043,0.9732838040422983,5.5152039740252505e-12,5.2385806288687125e-12,1.1835831614442822e-12,4.659751974922703,0.22593584890567592,0.0623540982941625,-25.332999129804534,69.0827680351803,28.07064861771819
0.2894188376753507,480591267294589.2,0.27242629422088593,0.016992543454464742,0.4521287714964112,0.9722042147057499,5.504022225950598e-12,5.244120483023997e-12,1.1868648088219721e-12,4.637446645177422,0.2263229482739825,0.06237482876996822,-25.692794127041388,68.83970446040732,27.708092791227003
