n_b,rho_b,n_n,n_p,lambda,xi_n,xi_p,kappa,R,epsilon,m_eff_relL_n,m_eff_relL_p,A_nn,A_pp,A_np
[1/fm**3],[g/cm**3],[1/fm**3],[1/fm**3],[cm],[cm],[cm],[],[],[],[],[],[MeV fm**5],[MeV fm**5],[MeV fm**5]
0.4723046092184369,784280223486974.0,0.4269159670257227,0.0453886421927142,3.3677184646528995e-12,1.0396493754643417e-11,9.254633016315315e-12,0.3638954087877749,0.8901686698154261,0.10631750906140136,0.8263780826987741,0.5202870724554673,-69.5159876146128,5.289514207131358,41.57172348803027
0.47338677354709424,786077199559118.2,0.42788839783013644,0.045498375716957806,3.363654861268e-12,1.0432319263400125e-11,9.341294134747246e-12,0.3600844607553954,0.8954187366101285,0.10633234261009292,0.8260421672671353,0.5197187242989258,-69.66658923427423,5.208558916489153,41.41799522008236
0.47446893787575156,787874175631262.5,0.42886107353383124,0.0456078643419203,3.3596149522977192e-12,1.0468343416109319e-11,9.428863800291673e-12,0.35631174905652924,0.9007025682575496,0.10634647711462782,0.8257068363782448,0.5191514933225291,-69.81712160382166,5.127954326695587,41.264356224050374
0.4755511022044088,789671151703406.8,0.4298339949272848,0.04571710727712402,3.3555985814937195e-12,1.0504567395142565e-11,9.517351992082138e-12,0.3525769125997835,0.9060203656252491,0.10635991526183963,0.825372089945904,0.5185853758789232,-69.96758527777534,5.047698075812203,41.11080599237741
0.47663326653306615,791468127775551.1,0.4308071627975346,0.04582610373553156,3.351605594182167e-12,1.0540992394031045e-11,9.6067687963962e-12,0.3488795936714391,0.9113723297852052,0.10637265972541023,0.8250379278793794,0.5180203683385126,-70.11798080879437,4.967787828096789,40.957344018435236
0.47771543086172347,793265103847695.4,0.43178057792819546,0.045934852933528,3.3476358372446056e-12,1.0577619617554999e-11,9.697124407578453e-12,0.3452194379014439,0.9167586619852311,0.1063847131659704,0.8247043500834514,0.5174564670893451,-70.26830874768957,4.888221273650352,40.80396979652211
0.4787975951903808,795062079919839.6,0.4327542410994764,0.046043354090904376,3.343689159099074e-12,1.0614450281834595e-11,9.788429128964436e-12,0.34159609422976117,0.9221795636196253,0.10639607823120208,0.8243713564584586,0.5168936685369984,-70.41856964343575,4.808996128069502,40.650682821861096
0.4798797595190381,796859055991984.0,0.43372815308819723,0.046151606430840875,3.3397654096815232e-12,1.0651485614422052e-11,9.880693373803323e-12,0.33800921487314256,0.9276352361988753,0.10640675755593872,0.8240389469003437,0.516331969104468,-70.5687640431839,4.730110132104723,40.49748259059828
0.4809619238476954,798656032064128.2,0.4347023146678051,0.04625960917989028,3.335864440427505e-12,1.0688726854395123e-11,9.973927666180189e-12,0.33445845529227436,0.9331258813185019,0.1064167537622646,0.8237071213006988,0.515771365232055,-70.71889249227354,4.651561051324357,40.34436859980079
0.48204408817635275,800453008136272.5,0.43567672660839096,0.04636736156796178,3.331986104254127e-12,1.0726175252451924e-11,1.0068142641936682e-11,0.3309434741593207,0.938651700626948,0.10642606945961378,0.8233758795468092,0.5152118533772566,-70.86895553424444,4.573346675783895,40.19134034745508
0.48312625250501007,802249984208416.9,0.43665138967670514,0.04647486282830494,3.3281302555422713e-12,1.0763832071007147e-11,1.0163349049590594e-11,0.32746393332582996,0.94421289579257,0.10643470724486812,0.8230452215216985,0.514653430014655,-71.01895371084865,4.495464819700821,40.03839733246504
